dates,producto,precio_mean
2014-02-07,PAPA AMARILLA,1.34
2014-02-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.24
2014-02-07,PAPA HUAMANTANGA,1.25
2014-02-07,PAPA PERUANITA (INJERTO),1.45
2014-02-08,PAPA AMARILLA,1.35
2014-02-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.19
2014-02-08,PAPA HUAMANTANGA,1.26
2014-02-08,PAPA PERUANITA (INJERTO),1.41
2014-02-09,PAPA AMARILLA,1.38
2014-02-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.18
2014-02-09,PAPA HUAMANTANGA,1.2
2014-02-09,PAPA PERUANITA (INJERTO),1.44
2014-02-10,PAPA AMARILLA,1.41
2014-02-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.19
2014-02-10,PAPA HUAMANTANGA,1.2
2014-02-10,PAPA PERUANITA (INJERTO),1.44
2014-02-11,PAPA AMARILLA,1.66
2014-02-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.23
2014-02-11,PAPA HUAMANTANGA,1.24
2014-02-11,PAPA PERUANITA (INJERTO),1.4
2014-02-12,PAPA AMARILLA,1.89
2014-02-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.28
2014-02-12,PAPA HUAMANTANGA,1.28
2014-02-12,PAPA PERUANITA (INJERTO),1.48
2014-02-13,PAPA AMARILLA,1.85
2014-02-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.26
2014-02-13,PAPA HUAMANTANGA,1.26
2014-02-13,PAPA PERUANITA (INJERTO),1.51
2014-02-14,PAPA AMARILLA,1.83
2014-02-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.29
2014-02-14,PAPA HUAMANTANGA,1.3
2014-02-14,PAPA PERUANITA (INJERTO),1.54
2014-02-15,PAPA AMARILLA,1.75
2014-02-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.26
2014-02-15,PAPA HUAMANTANGA,1.29
2014-02-15,PAPA PERUANITA (INJERTO),1.46
2014-02-16,PAPA AMARILLA,1.65
2014-02-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2014-02-16,PAPA HUAMANTANGA,1.2
2014-02-16,PAPA PERUANITA (INJERTO),1.4
2014-02-17,PAPA AMARILLA,1.53
2014-02-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-02-17,PAPA HUAMANTANGA,1.16
2014-02-17,PAPA PERUANITA (INJERTO),1.3
2014-02-18,PAPA AMARILLA,1.65
2014-02-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.18
2014-02-18,PAPA HUAMANTANGA,1.36
2014-02-18,PAPA PERUANITA (INJERTO),1.3
2014-02-19,PAPA AMARILLA,1.64
2014-02-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.19
2014-02-19,PAPA HUAMANTANGA,1.28
2014-02-19,PAPA PERUANITA (INJERTO),1.4
2014-02-20,PAPA AMARILLA,1.69
2014-02-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-02-20,PAPA HUAMANTANGA,1.35
2014-02-20,PAPA PERUANITA (INJERTO),1.26
2014-02-21,PAPA AMARILLA,1.74
2014-02-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.24
2014-02-21,PAPA HUAMANTANGA,1.33
2014-02-21,PAPA PERUANITA (INJERTO),1.25
2014-02-22,PAPA AMARILLA,1.78
2014-02-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-02-22,PAPA HUAMANTANGA,1.19
2014-02-22,PAPA PERUANITA (INJERTO),1.45
2014-02-23,PAPA AMARILLA,1.65
2014-02-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2014-02-23,PAPA HUAMANTANGA,1.23
2014-02-23,PAPA PERUANITA (INJERTO),1.43
2014-02-24,PAPA AMARILLA,1.56
2014-02-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-02-24,PAPA HUAMANTANGA,1.26
