date,cantidad (TM)
2022-02-03,726
2022-02-04,745
2022-02-05,642
2022-02-06,643
2022-02-07,174
2022-02-08,653
2022-02-09,449
2022-02-10,597
2022-02-11,581
2022-02-12,625
2022-02-13,428
2022-02-14,168
2022-02-15,587
2022-02-16,466
2022-02-17,762
2022-02-18,744
2022-02-19,677
2022-02-20,651
2022-02-21,91
2022-02-22,669
2022-02-23,535
2022-02-24,882
2022-02-25,832
2022-02-26,793
2022-02-27,532
2022-02-28,145
2022-03-01,805
2022-03-02,633
2022-03-03,688
2022-03-04,736
2022-03-05,587
2022-03-06,225
2022-03-07,478
2022-03-08,962
2022-03-09,432
2022-03-10,851
2022-03-11,573
2022-03-12,222
2022-03-13,1136
2022-03-14,217
2022-03-15,778
2022-03-16,683
2022-03-17,793
2022-03-18,679
2022-03-19,846
2022-03-20,600
2022-03-21,154
2022-03-22,786
2022-03-23,583
2022-03-24,793
2022-03-25,545
2022-03-26,872
2022-03-27,639
2022-03-28,753
2022-03-29,189
2022-03-30,41
2022-03-31,196
2022-04-01,250
2022-04-02,219
2022-04-03,270
2022-04-04,1253
2022-04-05,437
2022-04-06,726
2022-04-07,774
2022-04-08,1098
2022-04-09,945
2022-04-10,765
2022-04-11,277
2022-04-12,781
2022-04-13,728
2022-04-14,896
2022-04-15,474
2022-04-16,781
2022-04-17,244
2022-04-18,379
2022-04-19,904
2022-04-20,798
2022-04-21,789
2022-04-22,874
2022-04-23,778
2022-04-24,569
2022-04-25,120
2022-04-26,885
2022-04-27,371
2022-04-28,943
2022-04-29,553
2022-04-30,831
2022-05-01,792
2022-05-02,93
2022-05-03,657
2022-05-04,848
2022-05-05,879
2022-05-06,1053
2022-05-07,1044
2022-05-08,627
2022-05-09,104
2022-05-10,376
2022-05-11,431
2022-05-12,458
2022-05-13,649
2022-05-14,653
2022-05-15,709
2022-05-16,408
2022-05-17,709
2022-05-18,653
2022-05-19,1303
2022-05-20,1111
2022-05-21,990
2022-05-22,640
2022-05-23,357
2022-05-24,860
2022-05-25,661
2022-05-26,709
2022-05-27,515
2022-05-28,688
2022-05-29,727
2022-05-30,367
2022-05-31,588
2022-06-01,695
2022-06-02,1024
2022-06-03,1201
2022-06-04,1166
2022-06-05,863
2022-06-06,361
2022-06-07,739
2022-06-08,497
2022-06-09,619
2022-06-10,1155
2022-06-11,802
2022-06-12,790
2022-06-13,321
2022-06-14,527
2022-06-15,598
2022-06-16,771
2022-06-17,717
2022-06-18,662
2022-06-19,787
2022-06-20,180
2022-06-21,534
2022-06-22,462
2022-06-23,789
2022-06-24,633
2022-06-25,492
2022-06-26,569
2022-06-27,752
2022-06-28,226
2022-06-29,173
2022-06-30,437
2022-07-01,586
2022-07-02,685
2022-07-03,710
2022-07-04,287
2022-07-05,599
2022-07-06,491
