dates,producto,precio_mean
2018-12-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.73
2018-12-17,PAPA HUAMANTANGA,2.5
2018-12-17,PAPA PERUANITA (INJERTO),2.65
2018-12-18,PAPA AMARILLA,3.1
2018-12-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.75
2018-12-18,PAPA HUAMANTANGA,2.5
2018-12-18,PAPA PERUANITA (INJERTO),2.6
2018-12-19,PAPA AMARILLA,3.08
2018-12-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.75
2018-12-19,PAPA HUAMANTANGA,2.5
2018-12-19,PAPA PERUANITA (INJERTO),2.7
2018-12-20,PAPA AMARILLA,3.25
2018-12-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.75
2018-12-20,PAPA HUAMANTANGA,2.4
2018-12-20,PAPA PERUANITA (INJERTO),2.73
2018-12-21,PAPA AMARILLA,3.38
2018-12-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.75
2018-12-21,PAPA HUAMANTANGA,2.4
2018-12-21,PAPA PERUANITA (INJERTO),2.68
2018-12-22,PAPA AMARILLA,3.55
2018-12-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.85
2018-12-22,PAPA HUAMANTANGA,2.6
2018-12-22,PAPA PERUANITA (INJERTO),2.85
2018-12-23,PAPA AMARILLA,3.53
2018-12-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.85
2018-12-23,PAPA HUAMANTANGA,2.6
2018-12-23,PAPA PERUANITA (INJERTO),2.88
2018-12-24,PAPA AMARILLA,3.33
2018-12-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.0
2018-12-24,PAPA HUAMANTANGA,2.6
2018-12-24,PAPA PERUANITA (INJERTO),2.83
2018-12-25,PAPA AMARILLA,3.33
2018-12-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.0
2018-12-25,PAPA HUAMANTANGA,2.6
2018-12-25,PAPA PERUANITA (INJERTO),2.83
2018-12-26,PAPA AMARILLA,3.15
2018-12-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.15
2018-12-26,PAPA HUAMANTANGA,2.6
2018-12-26,PAPA PERUANITA (INJERTO),2.83
2018-12-27,PAPA AMARILLA,3.0
2018-12-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.3
2018-12-27,PAPA HUAMANTANGA,2.43
2018-12-27,PAPA PERUANITA (INJERTO),2.6
2018-12-28,PAPA AMARILLA,2.9
2018-12-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.23
2018-12-28,PAPA HUAMANTANGA,2.45
2018-12-28,PAPA PERUANITA (INJERTO),2.7
2018-12-29,PAPA AMARILLA,2.65
2018-12-29,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.23
2018-12-29,PAPA HUAMANTANGA,2.35
2018-12-29,PAPA PERUANITA (INJERTO),2.9
2018-12-30,PAPA AMARILLA,2.65
2018-12-30,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.23
2018-12-30,PAPA HUAMANTANGA,2.35
2018-12-30,PAPA PERUANITA (INJERTO),2.88
2018-12-31,PAPA AMARILLA,2.7
2018-12-31,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.23
2018-12-31,PAPA HUAMANTANGA,2.3
2018-12-31,PAPA PERUANITA (INJERTO),2.75
2019-01-01,PAPA AMARILLA,2.73
2019-01-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.23
2019-01-01,PAPA HUAMANTANGA,2.3
2019-01-01,PAPA PERUANITA (INJERTO),2.75
2019-01-02,PAPA AMARILLA,2.75
2019-01-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.25
2019-01-02,PAPA HUAMANTANGA,2.3
2019-01-02,PAPA PERUANITA (INJERTO),2.73
2019-01-03,PAPA AMARILLA,2.75
2019-01-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.23
2019-01-03,PAPA HUAMANTANGA,2.13
2019-01-03,PAPA PERUANITA (INJERTO),2.73
2019-01-04,PAPA AMARILLA,2.9
2019-01-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.15
2019-01-04,PAPA HUAMANTANGA,1.98
2019-01-04,PAPA PERUANITA (INJERTO),2.65
2019-01-05,PAPA AMARILLA,3.03
2019-01-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.23
2019-01-05,PAPA HUAMANTANGA,2.35
2019-01-05,PAPA PERUANITA (INJERTO),3.03
2019-01-06,PAPA AMARILLA,3.03
2019-01-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.23
2019-01-06,PAPA HUAMANTANGA,2.35
2019-01-06,PAPA PERUANITA (INJERTO),3.03
2019-01-07,PAPA AMARILLA,3.35
2019-01-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.23
2019-01-07,PAPA HUAMANTANGA,2.1
2019-01-07,PAPA PERUANITA (INJERTO),2.9
2019-01-08,PAPA AMARILLA,3.35
2019-01-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.23
2019-01-08,PAPA HUAMANTANGA,2.25
2019-01-08,PAPA PERUANITA (INJERTO),2.85
2019-01-09,PAPA AMARILLA,3.23
2019-01-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.98
2019-01-09,PAPA HUAMANTANGA,2.4
2019-01-09,PAPA PERUANITA (INJERTO),2.85
2019-01-10,PAPA AMARILLA,3.1
2019-01-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.0
2019-01-10,PAPA HUAMANTANGA,2.33
2019-01-10,PAPA PERUANITA (INJERTO),2.83
2019-01-11,PAPA AMARILLA,3.03
