dates,producto,precio_mean
2014-01-27,PAPA YUNGAY,0.49
2014-01-27,PAPA UNICA,0.72
2014-01-27,PAPA CANCHAN,0.61
2014-01-28,PAPA BLANCA/VALLE/OTROS,0.59
2014-01-28,PAPA COLOR/VALLE/OTROS,0.63
2014-01-28,PAPA NEGRA ANDINA,0.55
2014-01-28,PAPA YUNGAY,0.55
2014-01-28,PAPA UNICA,0.69
2014-01-28,PAPA CANCHAN,0.59
2014-01-29,PAPA BLANCA/VALLE/OTROS,0.6
2014-01-29,PAPA COLOR/VALLE/OTROS,0.6
2014-01-29,PAPA NEGRA ANDINA,0.59
2014-01-29,PAPA YUNGAY,0.6
2014-01-29,PAPA UNICA,0.66
2014-01-29,PAPA CANCHAN,0.53
2014-01-30,PAPA BLANCA/VALLE/OTROS,0.55
2014-01-30,PAPA COLOR/VALLE/OTROS,0.66
2014-01-30,PAPA NEGRA ANDINA,0.55
2014-01-30,PAPA YUNGAY,0.51
2014-01-30,PAPA UNICA,0.74
2014-01-30,PAPA CANCHAN,0.58
2014-01-31,PAPA BLANCA/VALLE/OTROS,0.59
2014-01-31,PAPA COLOR/VALLE/OTROS,0.68
2014-01-31,PAPA NEGRA ANDINA,0.58
2014-01-31,PAPA YUNGAY,0.59
2014-01-31,PAPA UNICA,0.68
2014-01-31,PAPA CANCHAN,0.66
2014-02-01,PAPA BLANCA/VALLE/OTROS,0.58
2014-02-01,PAPA COLOR/VALLE/OTROS,0.69
2014-02-01,PAPA NEGRA ANDINA,0.63
2014-02-01,PAPA YUNGAY,0.55
2014-02-01,PAPA UNICA,0.68
2014-02-01,PAPA CANCHAN,0.7
2014-02-02,PAPA BLANCA/VALLE/OTROS,0.57
2014-02-02,PAPA COLOR/VALLE/OTROS,0.71
2014-02-02,PAPA NEGRA ANDINA,0.59
2014-02-02,PAPA YUNGAY,0.55
2014-02-02,PAPA UNICA,0.71
2014-02-02,PAPA CANCHAN,0.65
2014-02-03,PAPA BLANCA/VALLE/OTROS,0.54
2014-02-03,PAPA COLOR/VALLE/OTROS,0.68
