producto,year,month,day,precio_min,precio_max,precio_mean
PAPA CANCHAN,2022,5,15,1.3,1.6,1.45
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,16,1.7,2.3,1.95
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,16,1.6,2.2,1.83
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,16,1.5,2.5,2.0
PAPA AMARILLA,2022,5,16,1.7,2.3,1.95
PAPA BLANCA/VALLE/OTROS,2022,5,16,1.3,1.7,1.48
PAPA COLOR/VALLE/OTROS,2022,5,16,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,16,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,16,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,16,1.4,1.8,1.58
PAPA PERUANITA (INJERTO),2022,5,16,1.5,1.8,1.65
PAPA YUNGAY,2022,5,16,1.4,1.7,1.55
PAPA UNICA,2022,5,16,1.4,1.7,1.55
PAPA CANCHAN,2022,5,16,1.4,1.6,1.5
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,17,1.7,2.3,1.95
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,17,1.7,2.2,1.9
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,17,1.5,2.5,2.0
PAPA AMARILLA,2022,5,17,1.8,2.4,2.1
PAPA BLANCA/VALLE/OTROS,2022,5,17,1.3,1.8,1.5
PAPA COLOR/VALLE/OTROS,2022,5,17,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,17,1.5,2.0,1.73
PAPA HUAMANTANGA,2022,5,17,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,17,1.4,1.8,1.58
PAPA PERUANITA (INJERTO),2022,5,17,1.5,1.9,1.7
PAPA YUNGAY,2022,5,17,1.4,1.8,1.6
PAPA UNICA,2022,5,17,1.4,1.7,1.55
PAPA CANCHAN,2022,5,17,1.4,1.7,1.55
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,18,1.7,2.3,1.95
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,18,1.7,2.2,1.9
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,18,1.5,2.0,1.75
PAPA AMARILLA,2022,5,18,1.8,2.5,2.15
PAPA BLANCA/VALLE/OTROS,2022,5,18,1.3,1.8,1.5
PAPA COLOR/VALLE/OTROS,2022,5,18,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,18,1.5,2.1,1.75
PAPA HUAMANTANGA,2022,5,18,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,18,1.4,1.8,1.6
PAPA PERUANITA (INJERTO),2022,5,18,1.5,2.0,1.75
PAPA YUNGAY,2022,5,18,1.4,1.8,1.6
PAPA UNICA,2022,5,18,1.4,1.7,1.55
PAPA CANCHAN,2022,5,18,1.4,1.7,1.55
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,19,1.7,2.4,1.98
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,19,1.7,2.1,1.88
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,19,1.0,2.0,1.63
PAPA AMARILLA,2022,5,19,1.9,2.5,2.18
PAPA BLANCA/VALLE/OTROS,2022,5,19,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,5,19,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,19,1.5,2.1,1.8
PAPA HUAMANTANGA,2022,5,19,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,19,1.4,1.8,1.6
PAPA PERUANITA (INJERTO),2022,5,19,1.6,2.0,1.8
PAPA YUNGAY,2022,5,19,1.4,1.8,1.6
PAPA UNICA,2022,5,19,1.4,1.7,1.55
PAPA CANCHAN,2022,5,19,1.4,1.7,1.55
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,20,1.7,2.4,1.98
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,20,1.7,2.1,1.88
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,20,1.0,2.0,1.63
PAPA AMARILLA,2022,5,20,1.9,2.5,2.18
PAPA BLANCA/VALLE/OTROS,2022,5,20,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,5,20,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,20,1.6,2.1,1.85
PAPA HUAMANTANGA,2022,5,20,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,20,1.4,1.8,1.6
PAPA PERUANITA (INJERTO),2022,5,20,1.6,2.0,1.8
PAPA YUNGAY,2022,5,20,1.4,1.8,1.6
PAPA UNICA,2022,5,20,1.4,1.7,1.55
PAPA CANCHAN,2022,5,20,1.4,1.7,1.55
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,21,1.7,2.4,1.98
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,21,1.8,2.1,1.95
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,21,1.0,2.0,1.63
PAPA AMARILLA,2022,5,21,2.0,2.5,2.2
PAPA BLANCA/VALLE/OTROS,2022,5,21,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,5,21,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,21,1.7,2.1,1.9
PAPA HUAMANTANGA,2022,5,21,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,21,1.4,1.8,1.6
PAPA PERUANITA (INJERTO),2022,5,21,1.6,2.0,1.83
PAPA YUNGAY,2022,5,21,1.4,1.8,1.6
PAPA UNICA,2022,5,21,1.4,1.7,1.55
PAPA CANCHAN,2022,5,21,1.4,1.7,1.55
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,22,1.7,2.4,1.98
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,22,1.8,2.1,1.95
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,22,1.0,2.0,1.63
PAPA AMARILLA,2022,5,22,2.0,2.5,2.2
PAPA BLANCA/VALLE/OTROS,2022,5,22,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,5,22,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,22,1.7,2.1,1.9
PAPA HUAMANTANGA,2022,5,22,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,22,1.4,1.8,1.6
PAPA PERUANITA (INJERTO),2022,5,22,1.6,2.0,1.83
PAPA YUNGAY,2022,5,22,1.4,1.8,1.6
PAPA UNICA,2022,5,22,1.4,1.7,1.55
PAPA CANCHAN,2022,5,22,1.4,1.7,1.55
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,23,1.7,2.4,1.98
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,23,1.8,2.2,1.98
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,23,1.5,2.0,1.75
PAPA AMARILLA,2022,5,23,2.0,2.5,2.23
PAPA BLANCA/VALLE/OTROS,2022,5,23,1.45,1.8,1.59
PAPA COLOR/VALLE/OTROS,2022,5,23,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,23,1.7,2.1,1.88
PAPA HUAMANTANGA,2022,5,23,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,23,1.5,1.8,1.65
PAPA PERUANITA (INJERTO),2022,5,23,1.6,2.0,1.83
PAPA YUNGAY,2022,5,23,1.4,1.8,1.58
PAPA UNICA,2022,5,23,1.4,1.7,1.55
PAPA CANCHAN,2022,5,23,1.45,1.7,1.56
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,24,1.7,2.5,2.08
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,24,1.8,2.3,2.0
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,24,1.5,2.0,1.75
PAPA AMARILLA,2022,5,24,2.0,2.5,2.25
PAPA BLANCA/VALLE/OTROS,2022,5,24,1.45,1.8,1.59
PAPA COLOR/VALLE/OTROS,2022,5,24,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,24,1.7,2.1,1.9
PAPA HUAMANTANGA,2022,5,24,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,24,1.5,1.8,1.65
PAPA PERUANITA (INJERTO),2022,5,24,1.6,2.1,1.88
PAPA YUNGAY,2022,5,24,1.4,1.8,1.58
PAPA UNICA,2022,5,24,1.4,1.8,1.58
