producto,year,month,day,precio_min,precio_max,precio_mean
PAPA CANCHAN,2016,4,21,0.7,0.9,0.79
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,20,1.2,2.7,1.8
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,20,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,20,1.5,2.0,1.75
PAPA AMARILLA,2016,4,20,1.5,1.8,1.65
PAPA BLANCA/VALLE/OTROS,2016,4,20,0.65,0.85,0.76
PAPA COLOR/VALLE/OTROS,2016,4,20,0.7,1.0,0.84
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,20,0.9,1.1,1.0
PAPA HUAMANTANGA,2016,4,20,1.0,1.15,1.09
PAPA NEGRA ANDINA,2016,4,20,0.65,0.9,0.8
PAPA PERUANITA (INJERTO),2016,4,20,1.2,1.3,1.25
PAPA PERRICHOLI,2016,4,20,0.75,0.85,0.8
PAPA YUNGAY,2016,4,20,0.65,0.8,0.73
PAPA UNICA,2016,4,20,0.75,1.0,0.88
PAPA CANCHAN,2016,4,20,0.7,0.9,0.79
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,19,1.0,2.5,1.68
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,19,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,19,1.5,2.0,1.7
PAPA AMARILLA,2016,4,19,1.5,1.8,1.65
PAPA BLANCA/VALLE/OTROS,2016,4,19,0.65,0.85,0.75
PAPA COLOR/VALLE/OTROS,2016,4,19,0.7,1.0,0.84
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,19,0.9,1.1,1.0
PAPA HUAMANTANGA,2016,4,19,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,19,0.7,1.0,0.85
PAPA PERUANITA (INJERTO),2016,4,19,1.1,1.3,1.2
PAPA PERRICHOLI,2016,4,19,0.7,0.85,0.78
PAPA YUNGAY,2016,4,19,0.65,0.8,0.73
PAPA UNICA,2016,4,19,0.75,1.0,0.86
PAPA CANCHAN,2016,4,19,0.7,0.9,0.79
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,18,1.0,2.5,1.68
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,18,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,18,1.5,2.0,1.83
PAPA AMARILLA,2016,4,18,1.5,1.8,1.65
PAPA BLANCA/VALLE/OTROS,2016,4,18,0.65,0.88,0.78
PAPA COLOR/VALLE/OTROS,2016,4,18,0.75,1.05,0.88
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,18,0.9,1.1,1.0
PAPA HUAMANTANGA,2016,4,18,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,18,0.75,0.9,0.83
PAPA PERUANITA (INJERTO),2016,4,18,1.0,1.3,1.15
PAPA PERRICHOLI,2016,4,18,0.85,0.88,0.87
PAPA YUNGAY,2016,4,18,0.65,0.75,0.7
PAPA UNICA,2016,4,18,0.75,1.05,0.89
PAPA CANCHAN,2016,4,18,0.8,0.9,0.85
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,17,0.9,2.3,1.55
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,17,0.7,1.3,1.08
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,17,1.5,2.0,1.75
PAPA AMARILLA,2016,4,17,1.5,1.8,1.65
PAPA BLANCA/VALLE/OTROS,2016,4,17,0.6,0.85,0.75
PAPA COLOR/VALLE/OTROS,2016,4,17,0.75,1.0,0.86
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,17,0.8,1.0,0.93
PAPA HUAMANTANGA,2016,4,17,1.0,1.1,1.06
PAPA NEGRA ANDINA,2016,4,17,0.75,0.95,0.85
PAPA PERUANITA (INJERTO),2016,4,17,1.0,1.2,1.1
PAPA PERRICHOLI,2016,4,17,0.75,0.85,0.81
PAPA YUNGAY,2016,4,17,0.6,0.8,0.71
PAPA UNICA,2016,4,17,0.75,1.0,0.89
PAPA CANCHAN,2016,4,17,0.8,0.9,0.85
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,16,0.9,2.3,1.55
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,16,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,16,1.5,2.0,1.75
PAPA AMARILLA,2016,4,16,1.5,1.8,1.65
PAPA BLANCA/VALLE/OTROS,2016,4,16,0.6,0.85,0.75
PAPA COLOR/VALLE/OTROS,2016,4,16,0.75,1.0,0.86
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,16,0.8,1.0,0.93
PAPA HUAMANTANGA,2016,4,16,1.0,1.1,1.06
PAPA NEGRA ANDINA,2016,4,16,0.75,0.95,0.85
PAPA PERUANITA (INJERTO),2016,4,16,1.0,1.2,1.1
PAPA PERRICHOLI,2016,4,16,0.75,0.85,0.81
PAPA YUNGAY,2016,4,16,0.6,0.8,0.71
PAPA UNICA,2016,4,16,0.75,1.0,0.89
PAPA CANCHAN,2016,4,16,0.8,0.9,0.85
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,15,0.9,2.3,1.55
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,15,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,15,1.0,1.5,1.38
PAPA AMARILLA,2016,4,15,1.6,2.1,1.88
PAPA BLANCA/VALLE/OTROS,2016,4,15,0.6,0.85,0.73
PAPA COLOR/VALLE/OTROS,2016,4,15,0.8,1.05,0.91
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,15,1.0,1.1,1.08
PAPA HUAMANTANGA,2016,4,15,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,15,0.7,0.95,0.84
PAPA PERUANITA (INJERTO),2016,4,15,1.0,1.3,1.15
PAPA PERRICHOLI,2016,4,15,0.7,0.85,0.78
PAPA YUNGAY,2016,4,15,0.6,0.75,0.68
PAPA UNICA,2016,4,15,0.8,1.05,0.93
PAPA CANCHAN,2016,4,15,0.8,1.0,0.9
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,14,0.9,2.3,1.55
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,14,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,14,1.0,2.0,1.5
PAPA AMARILLA,2016,4,14,1.5,2.0,1.73
PAPA BLANCA/VALLE/OTROS,2016,4,14,0.6,0.8,0.71
PAPA COLOR/VALLE/OTROS,2016,4,14,0.8,1.05,0.91
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,14,1.0,1.1,1.08
PAPA HUAMANTANGA,2016,4,14,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,14,0.7,1.0,0.89
PAPA PERUANITA (INJERTO),2016,4,14,1.0,1.3,1.15
PAPA PERRICHOLI,2016,4,14,0.7,0.8,0.76
PAPA YUNGAY,2016,4,14,0.6,0.75,0.68
PAPA UNICA,2016,4,14,0.8,1.0,0.89
PAPA CANCHAN,2016,4,14,0.8,1.05,0.94
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,13,0.8,2.3,1.53
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,13,0.7,1.4,1.08
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,13,1.0,2.0,1.5
PAPA AMARILLA,2016,4,13,1.5,1.8,1.65
PAPA BLANCA/VALLE/OTROS,2016,4,13,0.6,0.9,0.74
PAPA COLOR/VALLE/OTROS,2016,4,13,0.75,1.05,0.9
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,13,1.0,1.2,1.1
PAPA HUAMANTANGA,2016,4,13,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,13,0.7,0.9,0.81
PAPA PERUANITA (INJERTO),2016,4,13,1.0,1.2,1.1
PAPA PERRICHOLI,2016,4,13,0.7,0.9,0.81
PAPA YUNGAY,2016,4,13,0.6,0.75,0.68
PAPA UNICA,2016,4,13,0.75,1.0,0.86
PAPA CANCHAN,2016,4,13,0.8,1.05,0.94
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,12,0.8,2.3,1.53
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,12,0.7,1.4,1.08
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,12,1.5,2.5,2.0
PAPA AMARILLA,2016,4,12,1.3,1.7,1.53
PAPA BLANCA/VALLE/OTROS,2016,4,12,0.6,0.9,0.75
PAPA COLOR/VALLE/OTROS,2016,4,12,0.8,1.1,0.93
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,12,1.0,1.15,1.09
PAPA HUAMANTANGA,2016,4,12,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,12,0.7,0.95,0.84
PAPA PERUANITA (INJERTO),2016,4,12,1.0,1.2,1.1
PAPA PERRICHOLI,2016,4,12,0.7,0.9,0.81
PAPA YUNGAY,2016,4,12,0.6,0.8,0.71
PAPA UNICA,2016,4,12,0.8,1.1,0.95
PAPA CANCHAN,2016,4,12,0.8,1.0,0.89
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,11,0.8,2.3,1.53
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,11,0.7,1.4,1.08
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,11,2.0,3.0,2.5
PAPA AMARILLA,2016,4,11,1.2,1.4,1.3
PAPA BLANCA/VALLE/OTROS,2016,4,11,0.5,0.8,0.65
PAPA COLOR/VALLE/OTROS,2016,4,11,0.75,1.0,0.86
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,11,0.8,0.95,0.85
PAPA HUAMANTANGA,2016,4,11,1.05,1.15,1.1
PAPA NEGRA ANDINA,2016,4,11,0.65,0.95,0.8
PAPA PERUANITA (INJERTO),2016,4,11,1.0,1.2,1.1
PAPA PERRICHOLI,2016,4,11,0.65,0.8,0.73
PAPA YUNGAY,2016,4,11,0.5,0.65,0.58
PAPA UNICA,2016,4,11,0.75,0.9,0.83
PAPA CANCHAN,2016,4,11,0.8,1.0,0.89
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,10,0.8,2.2,1.5
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,10,0.7,1.4,1.08
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,10,1.0,2.5,1.75
PAPA AMARILLA,2016,4,10,1.2,1.5,1.35
PAPA BLANCA/VALLE/OTROS,2016,4,10,0.5,0.8,0.64
PAPA COLOR/VALLE/OTROS,2016,4,10,0.7,1.1,0.89
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,10,0.8,0.95,0.85
PAPA HUAMANTANGA,2016,4,10,1.0,1.15,1.08
PAPA NEGRA ANDINA,2016,4,10,0.65,0.9,0.76
PAPA PERUANITA (INJERTO),2016,4,10,1.0,1.2,1.1
PAPA PERRICHOLI,2016,4,10,0.65,0.8,0.73
PAPA YUNGAY,2016,4,10,0.5,0.6,0.55
PAPA UNICA,2016,4,10,0.75,1.1,0.89
PAPA CANCHAN,2016,4,10,0.7,1.0,0.85
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,9,0.8,2.2,1.5
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,9,0.7,1.4,1.08
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,9,1.0,2.5,1.75
PAPA AMARILLA,2016,4,9,1.2,1.5,1.35
PAPA BLANCA/VALLE/OTROS,2016,4,9,0.5,0.8,0.64
