producto,year,month,day,precio_min,precio_max,precio_mean,date
PAPA BLANCA/VALLE/OTROS,2022,5,25,1.5,1.8,1.6,2022-05-25
PAPA COLOR/VALLE/OTROS,2022,5,25,1.5,1.8,1.65,2022-05-25
PAPA NEGRA ANDINA,2022,5,25,1.5,1.8,1.65,2022-05-25
PAPA YUNGAY,2022,5,25,1.5,1.8,1.65,2022-05-25
PAPA UNICA,2022,5,25,1.45,1.8,1.59,2022-05-25
PAPA CANCHAN,2022,5,25,1.4,1.8,1.58,2022-05-25
PAPA BLANCA/VALLE/OTROS,2022,5,26,1.5,1.8,1.6,2022-05-26
PAPA COLOR/VALLE/OTROS,2022,5,26,1.5,1.8,1.65,2022-05-26
PAPA NEGRA ANDINA,2022,5,26,1.5,1.8,1.65,2022-05-26
PAPA YUNGAY,2022,5,26,1.5,1.8,1.65,2022-05-26
PAPA UNICA,2022,5,26,1.4,1.8,1.58,2022-05-26
PAPA CANCHAN,2022,5,26,1.4,1.8,1.58,2022-05-26
PAPA BLANCA/VALLE/OTROS,2022,5,27,1.5,1.8,1.6,2022-05-27
PAPA COLOR/VALLE/OTROS,2022,5,27,1.5,1.8,1.65,2022-05-27
PAPA NEGRA ANDINA,2022,5,27,1.5,1.8,1.63,2022-05-27
PAPA YUNGAY,2022,5,27,1.5,1.8,1.65,2022-05-27
PAPA UNICA,2022,5,27,1.5,1.8,1.65,2022-05-27
PAPA CANCHAN,2022,5,27,1.4,1.8,1.58,2022-05-27
PAPA BLANCA/VALLE/OTROS,2022,5,28,1.5,1.8,1.6,2022-05-28
PAPA COLOR/VALLE/OTROS,2022,5,28,1.5,1.8,1.65,2022-05-28
PAPA NEGRA ANDINA,2022,5,28,1.4,1.8,1.58,2022-05-28
PAPA YUNGAY,2022,5,28,1.5,1.8,1.63,2022-05-28
PAPA UNICA,2022,5,28,1.5,1.8,1.65,2022-05-28
PAPA CANCHAN,2022,5,28,1.4,1.7,1.55,2022-05-28
PAPA BLANCA/VALLE/OTROS,2022,5,29,1.5,1.8,1.6,2022-05-29
PAPA COLOR/VALLE/OTROS,2022,5,29,1.5,1.8,1.65,2022-05-29
PAPA NEGRA ANDINA,2022,5,29,1.4,1.8,1.58,2022-05-29
PAPA YUNGAY,2022,5,29,1.5,1.8,1.63,2022-05-29
PAPA UNICA,2022,5,29,1.5,1.8,1.65,2022-05-29
PAPA CANCHAN,2022,5,29,1.4,1.7,1.55,2022-05-29
PAPA BLANCA/VALLE/OTROS,2022,5,30,1.4,1.8,1.58,2022-05-30
PAPA COLOR/VALLE/OTROS,2022,5,30,1.5,1.8,1.65,2022-05-30
PAPA NEGRA ANDINA,2022,5,30,1.35,1.8,1.56,2022-05-30
PAPA YUNGAY,2022,5,30,1.4,1.8,1.58,2022-05-30
PAPA UNICA,2022,5,30,1.4,1.8,1.63,2022-05-30
PAPA CANCHAN,2022,5,30,1.35,1.7,1.51,2022-05-30
PAPA BLANCA/VALLE/OTROS,2022,5,31,1.4,1.8,1.58,2022-05-31
PAPA COLOR/VALLE/OTROS,2022,5,31,1.5,1.8,1.65,2022-05-31
PAPA NEGRA ANDINA,2022,5,31,1.4,1.8,1.58,2022-05-31
PAPA YUNGAY,2022,5,31,1.4,1.7,1.55,2022-05-31
PAPA UNICA,2022,5,31,1.4,1.8,1.63,2022-05-31
PAPA CANCHAN,2022,5,31,1.3,1.7,1.5,2022-05-31
PAPA BLANCA/VALLE/OTROS,2022,6,1,1.4,1.8,1.58,2022-06-01
PAPA COLOR/VALLE/OTROS,2022,6,1,1.5,1.8,1.65,2022-06-01
PAPA NEGRA ANDINA,2022,6,1,1.4,1.8,1.58,2022-06-01
PAPA YUNGAY,2022,6,1,1.4,1.7,1.55,2022-06-01
PAPA UNICA,2022,6,1,1.4,1.8,1.63,2022-06-01
PAPA CANCHAN,2022,6,1,1.3,1.7,1.5,2022-06-01
PAPA BLANCA/VALLE/OTROS,2022,6,2,1.4,1.7,1.55,2022-06-02
