"","PD04705XD"
"","Cotizaciones internacionales - Petróleo (West Texas Intermediate, US$ por barriles)"
17Oct00,32.99
18Oct00,33.48
19Oct00,32.91
20Oct00,33.75
23Oct00,34.91
24Oct00,34.12
25Oct00,33.56
26Oct00,33.71
27Oct00,32.74
30Oct00,32.81
31Oct00,32.7
01Nov00,33.25
02Nov00,32.54
03Nov00,32.71
06Nov00,32.86
07Nov00,33.4
08Nov00,33.24
09Nov00,33.92
10Nov00,34.02
13Nov00,34.47
14Nov00,34.87
15Nov00,35.58
16Nov00,35.12
17Nov00,35.45
20Nov00,36.12
21Nov00,35.76
22Nov00,36
23Nov00,n.d.
24Nov00,n.d.
27Nov00,35.38
28Nov00,34.22
29Nov00,34.63
30Nov00,33.82
01Dic00,32.02
04Dic00,31.22
05Dic00,29.53
06Dic00,29.85
07Dic00,29.35
08Dic00,28.44
11Dic00,29.5
12Dic00,29.68
13Dic00,28.74
14Dic00,27.99
15Dic00,28.87
18Dic00,29.76
19Dic00,29.33
20Dic00,25.97
21Dic00,25.98
22Dic00,26.06
25Dic00,n.d.
26Dic00,26.64
27Dic00,26.47
28Dic00,25.85
29Dic00,26.8
01Ene01,n.d.
02Ene01,27.21
03Ene01,28
04Ene01,28.14
05Ene01,27.95
08Ene01,27.32
09Ene01,27.64
10Ene01,29.48
11Ene01,29.41
12Ene01,30.05
15Ene01,n.d.
16Ene01,30.29
17Ene01,29.6
18Ene01,30.45
19Ene01,32.19
22Ene01,32.19
23Ene01,31.32
24Ene01,31.2
25Ene01,31.56
26Ene01,29.77
29Ene01,29.06
30Ene01,29.06
31Ene01,28.66
01Feb01,29.82
02Feb01,31.19
05Feb01,30.55
06Feb01,30.35
07Feb01,31.27
08Feb01,31.59
09Feb01,31.03
12Feb01,30.51
13Feb01,30.36
14Feb01,29.71
15Feb01,28.8
16Feb01,29.16
19Feb01,n.d.
20Feb01,28.58
21Feb01,28.25
22Feb01,28.57
23Feb01,28.82
26Feb01,28.69
27Feb01,28.14
28Feb01,27.4
01Mar01,27.63
02Mar01,27.85
05Mar01,28.61
06Mar01,28.33
07Mar01,29.01
08Mar01,28.41
09Mar01,28.05
12Mar01,28.04
13Mar01,27.65
14Mar01,26.42
15Mar01,26.58
16Mar01,26.76
19Mar01,26.17
20Mar01,25.96
21Mar01,26.43
22Mar01,26.19
23Mar01,26.97
26Mar01,27.48
27Mar01,27.75
28Mar01,26.33
29Mar01,26.33
30Mar01,26.3
02Abr01,25.6
03Abr01,26.2
04Abr01,27.13
05Abr01,27.27
06Abr01,27.07
09Abr01,27.28
10Abr01,28.49
11Abr01,28.18
12Abr01,28.25
13Abr01,n.d.
16Abr01,28.79
17Abr01,28.25
18Abr01,27.95
19Abr01,27.82
20Abr01,27.28
23Abr01,26.83
24Abr01,25.06
25Abr01,25.79
26Abr01,28.44
27Abr01,28.27
30Abr01,28.46
01May01,28.94
02May01,27.8
03May01,28.45
04May01,28.36
07May01,27.77
08May01,27.39
09May01,28.23
10May01,28.52
11May01,28.55
14May01,28.71
15May01,28.98
16May01,28.86
17May01,28.91
18May01,29.91
21May01,29.98
22May01,29.74
23May01,29.03
24May01,27.91
25May01,27.8
28May01,n.d.
29May01,28.66
30May01,28.55
31May01,28.37
01Jun01,27.93
04Jun01,28.13
05Jun01,28.25
06Jun01,27.73
07Jun01,27.75
08Jun01,28.33
11Jun01,29.04
12Jun01,29.19
13Jun01,28.85
14Jun01,29.06
15Jun01,28.51
18Jun01,27.56
19Jun01,27.49
20Jun01,26.51
21Jun01,26.38
22Jun01,26.63
25Jun01,27
26Jun01,26.98
27Jun01,25.62
28Jun01,25.56
29Jun01,26.26
02Jul01,25.95
03Jul01,26.24
04Jul01,n.d.
05Jul01,27.02
06Jul01,28.22
09Jul01,27.59
10Jul01,27.49
11Jul01,27.11
12Jul01,26.8
13Jul01,26.59
16Jul01,26.07
17Jul01,25.57
18Jul01,24.91
19Jul01,24.71
20Jul01,25.59
23Jul01,25.94
24Jul01,26.13
25Jul01,26.64
26Jul01,26.73
27Jul01,27.02
30Jul01,26.63
31Jul01,26.35
01Ago01,26.77
02Ago01,27.71
03Ago01,27.62
06Ago01,27.74
07Ago01,27.94
08Ago01,27.54
09Ago01,27.64
10Ago01,28.05
13Ago01,27.82
14Ago01,28.02
15Ago01,27.56
16Ago01,27.41
17Ago01,26.69
20Ago01,27.18
21Ago01,27.91
22Ago01,27.12
23Ago01,27.73
24Ago01,28.15
27Ago01,26.67
28Ago01,27.17
29Ago01,27.05
30Ago01,26.55
31Ago01,27.2
03Set01,n.d.
04Set01,26.93
05Set01,26.95
06Set01,27.58
07Set01,28.03
10Set01,27.63
11Set01,n.d.
12Set01,28.24
13Set01,28.75
14Set01,29.89
17Set01,28.81
18Set01,27.7
19Set01,26.72
20Set01,26.59
21Set01,25.37
24Set01,21.5
25Set01,21.56
26Set01,22.38
27Set01,22.74
28Set01,23.43
01Oct01,23.28
02Oct01,22.79
03Oct01,22.08
04Oct01,22.63
05Oct01,22.39
08Oct01,22.45
09Oct01,22.48
10Oct01,22.53
11Oct01,23.34
12Oct01,22.5
15Oct01,22.29
16Oct01,22
17Oct01,21.81
18Oct01,21.31
19Oct01,21.83
22Oct01,21.76
23Oct01,21.52
24Oct01,22.05
25Oct01,21.77
26Oct01,22.03
29Oct01,22.15
30Oct01,21.87
31Oct01,21.18
01Nov01,20.39
02Nov01,20.19
05Nov01,20.02
06Nov01,19.92
07Nov01,20.09
08Nov01,21.17
09Nov01,22.22
12Nov01,21.23
13Nov01,21.67
14Nov01,19.74
15Nov01,18.45
16Nov01,18.03
19Nov01,17.72
20Nov01,18.55
21Nov01,17.96
22Nov01,n.d.
23Nov01,n.d.
26Nov01,18.69
27Nov01,19.48
28Nov01,19.22
29Nov01,18.62
30Nov01,19.44
03Dic01,20.09
04Dic01,19.65
05Dic01,19.49
06Dic01,18.54
07Dic01,19.04
10Dic01,18.37
11Dic01,18.08
12Dic01,18.36
13Dic01,18.12
14Dic01,19.23
17Dic01,19.22
18Dic01,19.36
19Dic01,19.2
20Dic01,18.5
21Dic01,19.27
24Dic01,n.d.
25Dic01,n.d.
26Dic01,21.27
27Dic01,20.9
28Dic01,20.41
31Dic01,19.84
01Ene02,n.d.
02Ene02,21.01
03Ene02,20.37
04Ene02,21.62
07Ene02,21.48
08Ene02,21.25
09Ene02,20.18
10Ene02,20.38
11Ene02,19.68
14Ene02,18.89
15Ene02,18.9
16Ene02,18.86
17Ene02,17.97
18Ene02,18
21Ene02,n.d.
22Ene02,18.34
23Ene02,19.2
24Ene02,19.4
25Ene02,19.72
28Ene02,20.05
29Ene02,19.58
30Ene02,19.08
31Ene02,19.48
01Feb02,20.38
04Feb02,20.07
05Feb02,20.07
06Feb02,19.78
07Feb02,19.64
08Feb02,20.26
11Feb02,21.41
12Feb02,20.73
13Feb02,21.18
14Feb02,21.23
15Feb02,21.5
18Feb02,n.d.
19Feb02,20.88
20Feb02,20.29
21Feb02,20.76
22Feb02,20.87
25Feb02,20.25
26Feb02,21.41
27Feb02,21.29
28Feb02,21.74
01Mar02,22.4
04Mar02,22.45
05Mar02,23.17
06Mar02,23.15
07Mar02,23.71
08Mar02,23.84
11Mar02,24.31
12Mar02,24.2
13Mar02,24.16
14Mar02,24.56
15Mar02,24.51
18Mar02,25.11
19Mar02,24.88
20Mar02,24.9
21Mar02,25.44
22Mar02,24.9
25Mar02,24.31
26Mar02,25.36
27Mar02,25.87
28Mar02,26.31
29Mar02,n.d.
01Abr02,26.88
02Abr02,27.71
03Abr02,27.56
04Abr02,26.58
05Abr02,26.21
08Abr02,26.54
09Abr02,25.82
10Abr02,26.13
11Abr02,24.99
12Abr02,23.47
15Abr02,24.57
16Abr02,24.75
17Abr02,25.94
18Abr02,26.18
19Abr02,26.38
22Abr02,26.27
23Abr02,26.57
24Abr02,26.25
25Abr02,26.58
26Abr02,27.11
29Abr02,27.14
30Abr02,27.16
01May02,26.75
02May02,26.24
03May02,26.62
06May02,26.12
07May02,26.63
08May02,27.85
09May02,27.68
10May02,27.99
13May02,28.4
14May02,29.42
15May02,28.18
16May02,27.98
17May02,28.22
20May02,28.37
21May02,27.33
22May02,26.82
23May02,26.59
24May02,26.78
27May02,n.d.
28May02,25.27
29May02,25.76
30May02,24.67
31May02,25.31
03Jun02,25.08
04Jun02,25.33
