dates,producto,precio_mean
2020-03-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.23
2020-03-25,PAPA HUAMANTANGA,1.08
2020-03-25,PAPA PERUANITA (INJERTO),1.35
2020-03-26,PAPA AMARILLA,1.5
2020-03-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-03-26,PAPA HUAMANTANGA,0.91
2020-03-26,PAPA PERUANITA (INJERTO),1.33
2020-03-27,PAPA AMARILLA,1.5
2020-03-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-03-27,PAPA HUAMANTANGA,0.91
2020-03-27,PAPA PERUANITA (INJERTO),1.33
2020-03-28,PAPA AMARILLA,1.5
2020-03-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2020-03-28,PAPA HUAMANTANGA,0.89
2020-03-28,PAPA PERUANITA (INJERTO),1.3
2020-03-29,PAPA AMARILLA,1.35
2020-03-29,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-03-29,PAPA HUAMANTANGA,0.9
2020-03-29,PAPA PERUANITA (INJERTO),1.3
2020-03-30,PAPA AMARILLA,1.48
2020-03-30,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2020-03-30,PAPA HUAMANTANGA,0.86
2020-03-30,PAPA PERUANITA (INJERTO),1.3
2020-03-31,PAPA AMARILLA,1.48
2020-03-31,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2020-03-31,PAPA HUAMANTANGA,0.85
2020-03-31,PAPA PERUANITA (INJERTO),1.3
2020-04-01,PAPA AMARILLA,1.48
2020-04-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2020-04-01,PAPA HUAMANTANGA,0.85
2020-04-01,PAPA PERUANITA (INJERTO),1.3
2020-04-02,PAPA AMARILLA,1.7
2020-04-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2020-04-02,PAPA HUAMANTANGA,0.88
2020-04-02,PAPA PERUANITA (INJERTO),1.25
2020-04-03,PAPA AMARILLA,1.5
2020-04-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2020-04-03,PAPA HUAMANTANGA,0.88
2020-04-03,PAPA PERUANITA (INJERTO),1.25
2020-04-04,PAPA AMARILLA,1.48
2020-04-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2020-04-04,PAPA HUAMANTANGA,0.88
2020-04-04,PAPA PERUANITA (INJERTO),1.25
2020-04-05,PAPA AMARILLA,1.25
2020-04-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2020-04-05,PAPA HUAMANTANGA,1.25
2020-04-05,PAPA PERUANITA (INJERTO),1.25
2020-04-06,PAPA AMARILLA,1.43
2020-04-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.01
2020-04-06,PAPA HUAMANTANGA,0.88
2020-04-06,PAPA PERUANITA (INJERTO),1.25
2020-04-07,PAPA AMARILLA,1.43
2020-04-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2020-04-07,PAPA HUAMANTANGA,0.81
